Station,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
Dhaka,0,0,20,123,235,314,356,409,207,112,0,0,148
Tangail,3,0,48,68,198,303,259,,,,0,0,97.67
Mymensingh,1,12,32,80,239,449,333,741,242,18,0,0,178.92
Faridpur,0,0,17,109,163,383,253,469,113,2,0,0,125.75
Madaripur,0,1,20,101,169,408,342,380,131,61,0,0,134.42
Srimangal,6,7,56,96,595,401,401,307,108,73,0,0,170.83
Sylhet,0,3,99,78,403,578,673,722,490,55,0,0,258.42
Bogra,1,0,7,145,194,193,175,606,,,11,0,133.2
Dinajpur,0,28,27,61,250,348,285,381,261,,0,0,149.18
Ishwardi,4,1,30,96,155,253,289,645,,,0,0,147.3
Rajshahi,6,0,10,94,187,341,144,454,203,35,1,0,122.92
Rangpur,0,20,13,28,261,306,389,542,366,6,1,0,161
Saidpur,0,19,28,50,283,223,409,,,,0,0,112.44
Chuadanga,1,1,42,85,151,358,321,405,240,17,1,0,135.17
Jessore,0,0,34,33,132,314,296,306,227,18,0,0,113.33
Khulna,0,1,16,28,145,381,387,614,367,3,6,0,162.33
Mongla,0,0,8,112,132,504,392,639,421,39,0,0,187.25
Satkhira,0,1,58,58,218,450,428,638,217,53,0,0,176.75
Barisal,0,0,34,105,153,481,314,428,337,56,1,0,159.08
Bhola,0,0,32,66,317,425,398,383,331,63,0,0,167.92
Khepupara,0,0,35,106,249,542,802,925,345,88,0,0,257.67
Patuakhali,0,0,17,34,180,680,356,655,406,80,6,0,201.17
Chandpur,0,1,35,145,424,410,291,403,291,128,0,0,177.33
Teknaf,0,1,11,130,312,1180,848,1163,826,474,0,26,414.25
Chittagong,9,0,35,133,276,481,562,806,762,46,0,0,259.17
Comilla,0,0,28,76,351,346,273,501,233,76,0,0,157
Cox’s Bazar,11,0,4,123,296,926,877,1226,,,0,5,346.8
Feni,0,10,55,58,437,599,576,832,402,225,0,0,266.17
Hatiya,0,0,67,61,529,635,715,1018,659,158,0,0,320.17
Kutubdia,5,0,22,118,316,952,803,856,597,224,0,1,324.5
M. Court,0,6,24,61,358,794,791,691,392,117,0,0,269.5
Rangamati,1,1,49,78,169,516,463,566,420,98,0,0,196.75
Sandwip,0,0,120,124,372,661,734,1124,823,302,0,0,355
Sitakunda,1,0,124,163,361,502,818,,,,0,0,218.78
Dhaka ,10,2,36,269,140,189,221,271,81,36,68,5,110.67
Tangail ,10,0,2,122,155,270,219,202,330,64,94,1,122.42
Mymensingh ,5,0,1,202,83,281,407,239,246,31,19,0,126.17
Faridpur ,29,1,4,168,109,130,252,223,163,84,112,7,106.83
Madaripur ,22,17,0,170,112,143,380,206,208,197,86,1,128.5
Srimangal ,2,1,16,301,270,505,129,351,145,185,21,0,160.5
Sylhet ,10,6,95,691,405,1189,673,772,315,443,48,0,387.25
Bogra ,19,0,0,74,94,148,185,167,360,59,36,0,95.17
Dinajpur ,5,5,3,57,45,385,435,106,342,91,1,1,123
Ishwardi ,12,0,6,50,72,177,209,95,184,154,89,15,88.58
Rajshahi ,6,0,59,70,17,136,316,718,186,94,102,1,142.08
Rangpur ,7,2,1,191,212,369,445,187,403,57,89,0,163.58
Sayedpur ,7,6,3,90,182,329,460,98,650,26,0,0,154.25
Chuadanga ,28,0,6,76,47,125,334,132,174,132,81,7,95.17
Jessore ,31,4,5,92,23,193,301,179,271,72,61,2,102.83
Khulna ,66,18,1,53,63,255,393,251,371,89,80,2,136.83
Mongla ,40,13,8,77,61,192,360,459,411,114,34,8,148.08
Satkhira ,26,14,0,90,72,198,214,309,270,95,95,7,115.83
Barisal ,31,2,11,223,106,206,282,263,381,70,44,0,134.92
Bhola ,7,4,0,191,96,264,300,282,190,123,35,1,124.42
Khepupara ,9,0,49,96,131,418,656,398,533,259,69,7,218.75
Patuakhali ,7,2,48,84,76,285,406,425,345,114,71,0,155.25
Chandpur ,12,13,29,194,208,1371,324,416,157,128,92,2,245.5
Teknaf ,0,0,22,64,121,284,1378,931,486,306,23,0,301.25
Chittagong ,0,17,13,261,188,1272,798,286,169,635,3,0,303.5
Commilla ,16,13,0,231,178,409,283,375,201,90,162,3,163.42
Cox’s Bazar ,0,0,114,175,244,1085,1175,750,302,267,13,0,343.75
Feni ,2,20,8,364,173,698,5576,382,274,358,18,0,656.08
Hatiya ,0,1,7,284,306,534,737,494,366,244,13,2,249
Kutubdia ,0,0,30,171,210,1165,1725,488,264,550,47,0,387.5
M. Court ,6,41,33,268,290,478,451,491,263,156,29,0,208.83
Rangamati ,0,15,72,289,213,804,465,292,274,346,24,0,232.83
Sandwip ,0,19,33,399,149,760,1416,869,182,263,3,0,341.08
Sitakunda ,0,0,6,293,152,900,147,545,235,0,19,1,191.5
Dhaka ,0,0,49,30,390,318,302,219,167,126,0,4,133.75
Tangail ,0,0,11,79,298,218,103,166,117,124,0,2,93.17
Mymensingh ,0,0,21,68,307,264,338,321,137,262,0,0,143.17
Faridpur ,0,0,13,53,388,285,196,264,230,185,0,0,134.5
Madaripur ,0,0,15,29,770,208,299,265,975,196,0,5,230.17
Srimangal ,0,0,31,104,784,300,296,417,249,148,0,0,194.08
Sylhet ,0,0,16,237,957,727,567,534,338,444,0,0,318.33
Bogra ,0,0,3,43,154,250,235,255,112,487,0,0,128.25
Dinajpur ,0,0,0,100,249,287,219,467,150,237,0,0,142.42
Ishwardi ,0,0,1,68,187,267,140,233,104,129,0,0,94.08
Rajshahi ,0,0,12,51,210,167,92,252,242,199,0,0,102.08
Rangpur ,0,0,4,128,427,314,138,267,227,282,0,0,148.92
Sayedpur ,0,0,0,58,285,247,234,382,161,358,0,0,143.75
Chuadanga ,0,0,1,32,262,148,179,216,129,193,0,0,96.67
Jessore ,0,0,8,63,292,213,214,310,331,213,0,0,137
Khulna ,0,0,19,70,451,198,322,468,290,247,0,0,172.08
Mongla ,0,0,2,28,393,253,432,267,242,266,0,0,156.92
Satkhira ,0,0,37,30,322,217,258,213,308,232,0,0,134.75
Barisal ,0,0,5,64,664,278,445,354,331,164,0,0,192.08
Bhola ,0,0,0,28,664,275,322,467,236,189,0,0,181.75
Khepupara ,0,0,0,68,728,432,618,363,596,362,0,0,263.92
Patuakhali ,0,0,0,27,652,338,533,375,402,226,0,0,212.75
Chandpur ,0,0,15,135,685,506,215,311,505,177,0,0,212.42
Teknaf ,0,0,0,42,758,844,114,770,322,261,0,0,259.25
Chittagong ,0,0,3,59,781,569,343,263,181,358,0,3,213.33
Commilla ,0,0,30,28,472,219,269,236,238,122,0,0,134.5
Cox’s Bazar ,0,0,0,56,744,873,796,928,234,420,0,0,337.58
Feni ,0,0,26,17,541,502,368,520,327,187,0,0,207.33
Hatiya ,0,0,0,50,851,601,570,628,464,181,0,0,278.75
Kutubdia ,0,0,0,85,1138,1144,716,698,272,258,0,0,359.25
M. Court ,0,0,4,65,678,653,496,578,362,199,0,0,252.92
Rangamati ,0,0,2,59,540,294,268,250,424,232,0,0,172.42
Sandwip ,0,0,0,52,579,548,481,767,574,242,0,0,270.25
Sitakunda ,0,0,13,56,479,594,317,517,3244,260,1,0,456.75
Dhaka ,3,17,4,166,185,375,707,347,317,51,0,1,181.08
Tangail ,0,4,14,253,159,498,386,257,165,26,0,3,147.08
Mymensingh ,15,19,2,207,208,498,489,386,285,79,4,0,182.67
Faridpur ,6,19,2,177,130,345,619,260,189,80,0,6,152.75
Madaripur ,5,20,20,154,112,386,574,269,269,38,0,5,154.33
Srimangal ,5,48,37,377,517,231,611,399,150,104,21,11,209.25
Sylhet ,16,40,28,543,752,839,668,934,57,57,0,7,328.42
Bogra ,12,43,21,24,220,320,247,312,138,39,0,0,114.67
Dinajpur ,25,3,28,94,375,279,329,600,250,0,0,0,165.25
Ishurdi ,0,8,38,129,129,335,450,233,177,83,3,2,132.25
Rajshahi ,14,14,39,144,176,285,382,129,222,12,1,1,118.25
Rangpur ,26,24,15,123,298,523,237,714,455,3,0,0,201.5
Sydpur ,27,2,32,85,233,303,233,563,384,25,0,0,157.25
Chuadanga ,0,40,13,101,101,338,505,187,330,58,1,3,139.75
Jessore ,2,93,26,139,122,396,635,256,191,43,0,3,158.83
Khulna ,38,35,28,107,127,318,934,383,275,55,0,6,192.17
Mongla ,16,3,23,958,98,397,953,210,275,24,1,7,247.08
Satkhira ,60,10,32,167,16,226,704,240,309,57,0,7,152.33
Barisal ,2,24,18,135,72,653,833,216,330,139,8,3,202.75
Bhola ,10,10,42,95,71,700,801,387,338,184,0,2,220
Khepupara ,6,18,18,113,39,611,1075,587,424,175,34,19,259.92
Patuakhali ,5,4,33,178,38,658,142,59,354,163,0,22,138
