Station,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Year
Dhaka,12.2,16.9,21.5,23.2,24.6,26.2,26.7,26.5,26.3,24.9,19.2,15,21.93
Tangail,10.1,14.2,19.6,21.7,23.5,25.9,26.3,,,24.4,17.5,13.3,19.65
Mymensingh,10.7,15.3,19.7,21.8,23.5,25.9,26.1,26.2,26.1,24.4,17,13.6,20.86
Faridpur,10.6,15,19.9,22.2,24.3,26,26.4,26.3,26.2,25.1,18.3,14.2,21.21
Madaripur,10.7,14.7,19.4,22.1,24.3,25.9,26.1,26,26.1,24.5,18.1,14.3,21.02
Srimangal,8.6,12.4,17.5,20.6,22.8,24.9,25.5,25.2,25.1,22.4,14.8,12,19.32
Sylhet,12,15.4,19.3,22,23.2,25.3,25.7,25.5,25.5,23.9,17.8,15.3,20.91
Bogra,10.1,14.6,20.1,22.4,23.6,26.1,26.5,26.2,,31.8,18,13.3,21.15
Ishwardi,8.4,12.5,18.7,22.1,24,26.1,26.3,26.1,,23.08,16.5,12.1,19.63
Rajshahi,8.5,12.5,18.7,22.1,23.9,25.8,26.4,26.2,25.9,23.7,16.8,12.3,20.23
Rangpur,9.6,13.9,18.3,21.3,23.1,25.2,26,26,26.1,23.7,17,12.5,20.23
Saidpur,9.1,14.1,17.6,21,23,25.4,26.1,,,24.2,17.4,13,19.09
Chuadanga,8.6,12.9,19,22.1,24.4,26.2,25.9,25.8,25.5,23.7,16.7,12.3,20.26
Jessore,9.3,13.9,19.2,22.4,25,26,26.2,25.9,25.5,23.5,16.7,12.1,20.48
Khulna,11.9,16.1,20.5,23.4,25.4,26.4,26.5,26.2,25.9,23.6,19.4,12.1,21.45
Mongla,12.8,16.5,21,23.8,25.8,26.5,26.5,26,25.9,25.6,19.7,14.9,22.08
Satkhira,11.5,15.7,20.6,23.3,25.4,26.7,26.7,26.4,26.1,25.3,,15.7,22.13
Barisal,10.9,15.2,20.1,23,25.1,26.2,26.4,25.9,25.9,25.4,19.3,14.6,21.5
Bhola,11.4,15.4,20.1,20.1,23.1,25,26.1,26.1,25.8,24.7,18.4,14.3,20.88
Khepupara,12.3,16.1,20.6,23.8,25.1,26.2,26,25.9,26,22.6,,16.6,21.93
Patuakhali,12.1,15.8,20.3,23.2,25.3,26.1,26.2,25.7,25.6,25.2,19.3,14.9,21.64
Chandpur,12,16.1,20.3,22.6,24.4,26,26,26,26,24.9,18.9,15,21.52
Teknaf,14.8,16.8,19.2,23.5,25,25.3,25.6,25.3,25.1,24.8,19.2,,22.24
Chittagong,14,16.4,22.5,25.9,25.6,25.5,25.9,25.6,25.4,,17.8,15.3,21.81
Comilla,11.3,15.8,19.7,22,24,25.9,25.9,25.6,25.6,,,16.3,21.21
Cox’s Bazar,14.8,17.7,20.9,24.1,24.6,25.4,25.5,25.1,,24.6,19.2,16.1,21.64
Feni,11.4,15.8,19.7,22.5,24.1,25.4,25.6,25.2,25.3,24.3,19.5,14.5,21.11
Hatiya,11.8,15.7,20.1,23.1,25.1,26,25.9,25.7,25.7,24.4,18.1,17.6,21.6
Kutubdia,14.5,17.6,20.6,24.2,25.2,25.9,25.9,25.6,25.5,24.8,18.4,15.2,21.95
M. Court,12.7,16.9,20.3,22.9,24.6,26.1,26.5,26,26.1,25,19.3,15.9,21.86
Rangamati,11.6,14.8,18.5,22.1,23.9,24.6,24.4,24.2,24,34,20.3,16.1,21.54
Sandwip,11.8,15.5,19.7,22.7,24.7,25.8,25.6,25.4,25.6,23.4,17.1,15.3,21.05
Sitakunda,10.4,14,18.6,22.4,24.3,25.7,25.3,,,24.6,18.5,15.1,19.89
Ambagan (ctg),13.4,16.9,20.6,23.6,24.9,25.7,25.6,25.3,25.4,,,15.2,21.66
Dhaka ,14.5,16,22.1,23.7,25.8,26.9,26.7,26.6,26.8,24.3,19.1,14.5,22.25
Tangail ,12.3,13.3,19,22.9,24.7,26.2,26.3,26.4,26,23.1,17.4,12.9,20.88
Mymensingh ,12.5,13.9,19.2,22,24.6,25.8,26.5,26.7,26.3,23,16.9,13.1,20.88
Faridpur ,13.2,14.1,20.4,23.4,25.6,26.2,26.5,26.6,26.5,23.8,18.1,12.7,21.43
Madaripur ,12.8,14,21.2,22.6,25.1,26.4,26.3,26.2,26,23.2,17.9,11.6,21.11
Srimangal ,10,10.3,18.2,20.9,23.3,24.5,25.5,25.3,25.1,22,16.3,14.5,19.66
Sylhet ,13.2,14.3,20.2,21.7,23.5,24.6,26,25.7,25.7,22.8,18.9,14.4,20.92
Bogra ,12.2,14,19.5,28.9,25.6,26.4,26.6,26.9,26.4,22.9,17.3,13,21.64
Dinajpur ,10.7,13.1,17.3,23.1,24.4,25.7,26.7,27,25.8,21.6,15.1,11.7,20.18
Ishwardi ,11.6,12.4,17.8,22.9,25.7,26.8,266.5,26.7,26.2,21.7,16.2,11.8,40.53
Rajshahi ,11.5,12.2,17.5,21.5,25.9,26.9,26.4,26.7,26.1,21.9,16.4,11.8,20.4
Rangpur ,11,12.9,17.1,21.2,23.9,25.4,26.3,26.8,25.8,22.4,16.2,12.9,20.16
Sayedpur ,10.8,13.1,17,23.3,24.1,25.6,26.5,27,25.8,21.8,15.4,12.3,20.23
Chuadanga ,12.1,12.6,18.3,23.3,25.8,27,26.4,26.3,25.8,21.5,6.2,11.5,19.73
Jessore ,11.7,13.1,19.7,24.4,25.7,27.2,26.7,26.4,25.9,22.2,16.7,12,20.98
Khulna ,14.3,15.5,22,24.5,26.4,27.7,26.7,26.6,26.5,23.8,19.1,13.7,22.23
Mongla ,14.9,16.3,22.3,24.2,26.5,27.7,26.8,26.5,26.4,23.9,19.6,14.3,22.45
Satkhira ,14,14.9,21.7,23.7,26.9,27.8,26.9,26.7,26.6,23.7,18.5,13.1,22.04
Barisal ,13,14.3,21.8,33.7,25.9,27.2,26.5,26.2,26,23.3,18.7,12.7,22.44
Bhola ,12.5,15.8,23.5,23.4,26.6,27,26.2,26.2,26.3,23.3,18.9,13.3,21.92
Khepupara ,13.9,15.7,22.4,24.8,26.7,27.6,28,26.4,26.2,23.7,19.6,13.5,22.38
Patuakhali ,13.9,15,21.9,24.1,26,27.5,26.4,26.3,26.7,23.5,19.4,13.4,22.01
Chandpur ,14,15.2,21.6,24.1,25.6,26.5,26.4,26.2,26.3,24.2,19.3,14.1,21.96
Teknaf ,15.3,15.9,26.8,23.8,26.2,25.9,25.3,25.4,25.7,24.3,21,15.8,22.62
Chittagong ,15.3,16.3,22,22.7,25.4,25.5,25.5,25.7,25.8,24.2,20.5,14.5,21.95
Commilla ,12.9,14.6,21.7,24.3,25,25.8,25.9,25.9,25.9,23.4,18.6,13.4,21.45
Cox’s Bazar ,15.8,17.1,21.4,22.7,25.7,25.5,25.1,24.9,25.5,23.5,28.5,15.5,22.6
Feni ,13,14.7,21.2,23.5,25.2,25.1,25.3,25.5,25.5,23.6,18.5,13.2,21.19
Hatiya ,13.3,15.6,221.2,24.1,25.6,26.7,26,25.9,26.1,24.4,20.5,13.6,38.58
Kutubdia ,15.3,16.9,21.9,23.5,26.1,25.9,25.3,25.8,25.8,24.7,20.5,14.7,22.2
M. Court ,14.6,15.6,22.3,22.8,25.9,26.7,26.5,26.4,26.2,24.7,20.4,14.7,22.23
Rangamati ,13,14.2,19.8,23.8,24,25.6,24.4,24.3,24.9,23,18.9,13.4,20.78
Sandwip ,13.6,15,21.7,23.1,25.6,26.1,25.6,25.7,26,23.8,19.4,13.5,21.59
Sitakunda ,13.5,12.9,21.3,23.1,26.4,25.5,25.8,25.4,25.7,23.7,19.3,12.6,21.27
Dhaka ,12.3,17.5,22.1,24.4,24.8,27.2,27,26.2,26.3,24.4,18.5,15.6,22.19
Tangail ,9.8,14.3,19.5,22.9,24.2,26.3,26.8,26,25.9,23.4,16.1,13.6,20.73
Mymensingh ,10.5,15.7,19.6,22.5,24.2,26.4,26.4,26.2,26.2,23.6,16.1,14.5,20.99
Faridpur ,10.3,14.8,20.3,23.7,24.5,26.4,26.7,26.3,26.3,24.3,17.6,12.7,21.16
Madaripur ,10,14.8,20.3,23.5,24.3,26.4,26.3,26.1,25.8,24,20.2,111.6,29.44
