Station,Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec 
Dhaka,13.5,16.6,21.3,24.1,25.1,26.3,26.5,26.5,26.1,24.2,19.7,15.5
Tangail,11.3,14.4,19.1,22.8,24,25.6,26,26.1,25.7,23.4,18.2,13.6
Mymensingh,11.9,15.1,19.2,22.4,24,25.8,26.4,26.5,26,23.5,18.1,13.8
Faridpur,12.1,15.2,20,23.6,24.8,26,26.2,26.4,26.1,24.1,19.2,14.5
Madaripur,12.1,15.3,20.1,23.6,24.8,26,26.3,26.4,26.1,24.1,19.2,14.3
Srimangal,9.9,12.3,17.3,21.2,23.1,24.8,25.4,25.3,24.9,22.4,16.7,12.1
Sylhet,13.2,15.3,19.1,21.5,23.2,24.9,25.6,25.6,25.2,23.4,19.1,15.3
Bogra,11.7,14.8,19.5,23,24.4,26.1,26.5,26.7,26.1,23.7,18.6,14.1
Dinajpur,10.4,13.3,17.8,21.5,23.7,25.6,26.4,26.5,25.6,22.6,16.8,12.5
Ishurdi,10.4,13.5,18.6,23.2,24.6,26.1,26.3,26.4,25.8,23.2,17.6,12.8
Rajshahi,10.6,13.4,18.4,23.1,24.6,26.1,26.4,26.5,25.9,23.2,17.6,13
Rangpur,11.1,13.8,17.9,21.5,23.5,25.4,26.3,26.4,25.6,23,17.9,13.5
sydpur,10.7,13.7,17.7,21.2,23.4,25.4,26.3,26.4,25.6,22.7,17.2,12.9
chuadanga,10.6,13.9,18.9,23.5,25,26.2,26.3,26.3,25.8,23.3,17.6,12.7
Jessore,10.9,14.6,19.6,23.7,25.2,26.2,26.3,26.2,25.7,23.3,17.6,12.7
Khulna,12.7,16.1,21,24.5,25.6,26.5,26.5,26.4,26.1,24.3,19.6,14.7
Mongla,13.9,17.1,21.9,24.9,26,26.6,26.4,26.5,26.1,24.5,20.3,15.8
Satkhira,12.2,15.8,20.8,24.5,25.7,26.6,26.5,26.4,26,23.9,18.7,13.8
Barishal,11.9,15.2,20.5,23.9,25.2,26.1,26,26,25.7,23.9,18.9,14
Bhola,12.4,15.7,20.8,24.2,25.3,26.1,26.1,26.1,25.8,24.2,19.3,14.5
Khepupara,13.2,16.5,21.6,24.8,25.9,26.4,26.2,26.1,25.9,24.4,19.8,15.1
Patuakhali,13.2,16.3,21.1,24.2,25.5,26.3,26.2,26.2,26,24.4,19.9,15.2
Chandpur,13.7,16.4,21,24,25.1,26.1,26.2,26.3,26.1,24.6,20.2,15.9
Ambagan(Ctg ,14.5,17.1,21.3,24.4,25.1,25.7,25.6,25.6,25.5,24.3,20.2,16.3
Chattagram ,14.4,16.7,21.1,24.3,25.3,25.7,25.6,25.7,25.6,24.6,20.8,16.4
Cumilla,12.3,15.5,19.9,23,24.4,25.6,25.8,25.8,25.5,23.8,18.8,14
Cox's Bazar ,15.6,17.7,21.6,24.6,25.5,25.6,25.4,25.4,25.3,24.7,21.4,17.4
Feni,12.6,15.7,20.3,23.4,24.7,25.5,25.5,25.5,25.4,23.8,19.1,14.6
Hatiya,13.4,16.1,20.6,24,25.2,25.8,25.8,25.7,25.6,24.4,19.7,15.4
Kutubdia,15,17.2,21.2,24.3,25.5,25.7,25.6,25.6,25.5,24.6,20.7,16.8
M.court,14.1,16.7,20.9,23.9,25.2,26.1,26.1,26.1,26,24.9,20.9,16.3
Rangamati,12.5,14.7,19.1,22.9,24.1,24.8,24.9,24.9,24.6,23.4,19.2,14.9
Sandwip,13.5,16.1,20.8,24.1,25.1,25.7,25.5,25.5,25.4,24.3,19.8,15.4
Sitakunda,11.7,14.4,19.5,23.4,24.8,25.5,25.5,25.4,25.2,23.6,18.6,13.8
Teknaf,14.7,16.5,20.7,24.1,25.6,25.7,25.4,25.4,25.4,24.7,21.1,16.7
Gopalgonj,12,14.8,20.3,23.7,24.9,26.4,26.6,26.5,26.1,24,18.4,14
Tarash,12.5,15.3,19.7,22.6,24.1,26.4,27,27.1,26.6,24.1,18.6,14.4
Natrakona,12.7,15.2,19,21.7,23.3,25.6,26.5,26.6,26.1,24,18.5,14.5
Rajarhat,10.1,12.3,17.2,20.7,22.7,25.2,26.3,26.3,25.4,22.6,16.6,12.2
Badalgachhi ,11.5,16.2,20,22.2,24.3,26.2,26.4,26.3,24.9,20.1,15.2,11.1
Dimla,10.8,13.5,17.7,20.8,22.8,25.4,26.6,26.7,25.7,22.6,16.7,12.8
Kumarkhali,12,14.8,20.2,23.4,24.5,26.2,26.5,26.7,26.3,24.1,18.7,14.2
