Station,Year,Predicted Value
Dhaka,22.11666667,22.28319311
Tangail,20.85,20.82112145
Mymensingh,21.05833333,21.50869809
Faridpur,21.51666667,21.84081671
Madaripur,21.525,21.85788108
Srimangal,19.61666667,18.77010249
Sylhet,20.95,20.93708969
Bogra,21.26666667,21.59104441
Dinajpur,20.225,19.99691794
Ishurdi,20.70833333,20.88016753
Rajshahi,20.73333333,21.01301021
Rangpur,20.49166667,20.53998693
sydpur,20.26666667,20.04221955
chuadanga,20.84166667,20.89310773
Jessore,21,21.1040702
Khulna,22,22.16626268
Mongla,22.5,21.92915222
Satkhira,21.74166667,21.93626425
Barishal,21.44166667,22.25056775
Bhola,21.70833333,23.01593254
Khepupara,22.15833333,22.06390254
Patuakhali,22.04166667,22.09339987
Chandpur,22.13333333,22.53825629
Ambagan(Ctg ,22.13333333,22.68741679
Chattagram ,22.18333333,22.89729007
Cumilla,21.2,21.68766726
Cox's Bazar ,22.51666667,23.14598895
Feni,21.34166667,22.00963327
Hatiya,21.80833333,22.55165674
Kutubdia,22.30833333,22.75107494
M.court,22.26666667,22.3455232
Rangamati,20.83333333,20.9447893
Sandwip,21.76666667,22.93000749
Sitakunda,20.95,21.09383068
Teknaf,22.16666667,23.54318692
Gopalgonj,21.475,21.66439107
Tarash,21.53333333,22.37788349
Natrakona,21.14166667,21.62550734
Rajarhat,19.8,19.35215322
Badalgachhi ,20.36666667,19.37759186
Dimla,20.175,20.37688308
Kumarkhali,21.46666667,21.77041996
